neighbourhood,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,availability_365,cancellation_policy,price
17,0,1,2,1.0,1.0,1.0,4,0,0,70.0
17,3,1,2,1.0,1.0,1.0,4,121,2,88.0
17,7,0,12,2.5,4.0,7.0,4,327,0,480.0
17,7,0,9,2.5,4.0,5.0,4,334,2,550.0
17,0,0,4,1.0,2.0,2.0,4,322,1,180.0
17,7,0,5,3.5,4.0,4.0,4,340,1,325.0
17,0,1,1,1.0,1.0,1.0,4,72,0,65.0
17,0,0,4,1.0,3.0,4.0,4,360,2,290.0
17,7,0,4,2.0,4.0,3.0,4,16,1,159.0
17,7,1,2,1.0,1.0,1.0,4,28,2,200.0
17,7,1,2,1.0,1.0,1.0,4,231,1,95.0
17,0,0,3,1.0,1.0,1.0,4,0,1,99.0
17,7,1,3,1.0,1.0,2.0,4,317,1,93.0
17,7,0,10,2.5,4.0,6.0,4,88,1,500.0
17,0,0,4,1.0,2.0,2.0,4,365,1,295.0
17,7,0,11,3.5,5.0,5.0,4,145,2,450.0
17,7,0,4,1.5,2.0,2.0,4,279,2,150.0
17,0,0,4,1.0,2.0,1.0,4,0,0,95.0
17,3,0,4,1.0,2.0,2.0,4,213,1,150.0
17,0,0,8,2.0,4.0,4.0,4,274,2,399.0
17,0,0,6,1.0,3.0,3.0,4,365,0,500.0
17,1,1,2,1.0,1.0,1.0,4,305,0,70.0
17,0,1,2,1.0,1.0,1.0,2,365,0,125.0
17,1,1,2,1.0,1.0,1.0,4,323,2,85.0
17,0,1,2,1.0,1.0,1.0,4,132,1,61.0
17,7,0,6,2.0,2.0,4.0,4,306,2,250.0
17,7,1,2,1.0,1.0,1.0,4,341,2,56.0
17,0,2,3,1.0,1.0,2.0,4,0,0,200.0
17,0,0,6,1.0,2.0,3.0,4,185,2,220.0
17,1,1,1,1.5,1.0,1.0,4,352,2,80.0
17,1,1,2,1.0,1.0,1.0,4,288,2,60.0
17,7,1,2,1.0,1.0,2.0,4,146,1,125.0
17,7,0,5,2.0,3.0,3.0,4,0,0,500.0
17,0,0,2,1.0,1.0,1.0,4,311,0,149.0
17,0,1,2,1.0,1.0,1.0,4,0,0,65.0
17,0,0,2,1.0,0.0,1.0,4,294,2,99.0
17,0,1,3,1.0,1.0,2.0,4,0,1,67.0
17,7,0,5,1.5,2.0,4.0,4,90,2,180.0
17,0,0,3,2.0,2.0,2.0,4,213,1,170.0
17,7,0,4,1.0,2.0,2.0,4,111,2,115.0
17,7,0,4,2.0,2.0,3.0,4,84,1,235.0
17,7,1,2,1.0,1.0,1.0,4,66,2,89.0
17,0,1,2,1.0,1.0,1.0,4,330,0,84.0
17,0,1,2,1.0,1.0,1.0,4,365,0,125.0
17,0,0,3,1.0,1.0,1.0,4,263,1,130.0
17,0,1,1,1.0,1.0,1.0,4,341,0,65.0
17,10,1,2,1.0,1.0,1.0,4,27,2,86.0
17,0,0,4,1.0,1.0,1.0,2,0,2,75.0
17,0,0,6,1.0,3.0,2.0,4,17,2,255.0
17,7,0,3,1.0,1.0,1.0,4,322,2,145.0
17,7,0,5,1.5,3.0,4.0,4,258,2,199.0
17,0,1,2,1.0,1.0,1.0,4,282,1,91.0
17,7,1,2,1.0,1.0,1.0,4,320,2,81.0
17,0,1,2,1.0,1.0,1.0,3,334,2,60.0
17,7,1,3,1.0,1.0,2.0,4,242,2,99.0
17,3,1,1,1.0,1.0,1.0,4,123,1,88.0
17,0,1,2,1.0,1.0,1.0,4,0,0,50.0
17,3,0,3,2.0,1.0,1.0,4,62,0,225.0
17,10,1,1,1.0,1.0,1.0,2,2,2,48.0
17,0,0,2,1.0,1.0,1.0,4,106,2,37.0
17,7,1,2,1.0,1.0,1.0,4,307,1,85.0
17,0,0,12,1.0,4.0,1.0,4,327,2,525.0
17,0,1,2,1.0,1.0,1.0,4,0,0,100.0
17,7,1,2,1.5,1.0,1.0,4,276,1,75.0
17,0,1,2,1.0,1.0,1.0,4,0,0,25.0
17,0,1,1,1.0,1.0,1.0,4,0,1,50.0
17,7,1,2,1.0,1.0,1.0,4,331,2,49.0
17,3,0,4,1.0,2.0,2.0,4,0,0,180.0
17,0,1,2,1.0,1.0,1.0,4,290,2,60.0
17,0,1,2,1.0,1.0,1.0,2,365,1,85.0
17,0,1,2,1.5,1.0,1.0,4,329,0,85.0
17,7,1,2,1.0,1.0,1.0,4,26,2,64.0
17,0,0,12,2.0,4.0,5.0,4,329,2,725.0
17,3,1,2,1.5,1.0,1.0,4,8,1,75.0
17,0,0,4,1.0,2.0,2.0,4,0,2,119.0
17,0,0,4,1.0,1.0,2.0,4,2,1,110.0
17,7,0,2,1.0,1.0,1.0,4,359,0,179.0
17,0,0,6,2.0,2.0,2.0,4,0,0,175.0
17,0,0,2,1.0,0.0,1.0,4,320,1,125.0
17,8,0,4,1.0,2.0,4.0,4,364,1,220.0
20,0,0,4,1.0,2.0,2.0,4,364,3,299.0
20,0,0,2,1.0,1.0,1.0,4,364,3,249.0
20,0,0,2,1.0,0.0,1.0,4,362,0,115.0
20,0,0,2,1.0,1.0,1.0,4,304,1,239.0
20,0,1,2,1.5,1.0,1.0,4,0,0,75.0
20,8,1,2,1.0,1.0,1.0,0,0,1,30.0
20,3,1,5,1.0,1.0,5.0,4,289,1,160.0
20,0,1,2,2.0,1.0,1.0,4,304,2,62.0
20,0,1,1,1.0,1.0,1.0,4,0,0,872.0
20,0,1,1,2.0,1.0,1.0,4,0,2,55.0
20,0,1,1,1.0,1.0,1.0,4,0,0,60.0
